Question,Answer
how to prevent gum (periodontal) disease ?,"risk factors there are a number of risk factors that can increase your chances of developing periodontal disease. - smoking is one of the most significant risk factors associated with the development of gum disease. smoking can also lower the chances for successful treatment. - hormonal changes in women can make gums more sensitive and make it easier for gingivitis to develop. - people with diabetes are at higher risk for developing infections, including gum disease. - diseases like cancer or aids and their treatments can also negatively affect the health of gums. - there are hundreds of prescription and over-the-counter medications that can reduce the flow of saliva, which has a protective effect on the mouth. without enough saliva, the mouth is vulnerable to infections such as gum disease. and some medicines can cause abnormal overgrowth of the gum tissue; this can make it difficult to keep teeth and gums clean. - some people are more prone to severe gum disease because of their genetic makeup. smoking is one of the most significant risk factors associated with the development of gum disease. smoking can also lower the chances for successful treatment. hormonal changes in women can make gums more sensitive and make it easier for gingivitis to develop. people with diabetes are at higher risk for developing infections, including gum disease. diseases like cancer or aids and their treatments can also negatively affect the health of gums. there are hundreds of prescription and over-the-counter medications that can reduce the flow of saliva, which has a protective effect on the mouth. without enough saliva, the mouth is vulnerable to infections such as gum disease. and some medicines can cause abnormal overgrowth of the gum tissue; this can make it difficult to keep teeth and gums clean. some people are more prone to severe gum disease because of their genetic makeup. prevention here are some things you can do to prevent gum disease. - brush your teeth twice a day (with a fluoride toothpaste). - floss regularly to remove plaque from between teeth. or use a device such as a special pick recommended by a dental professional. visit the dentist routinely for a check-up and professional cleaning. - visit the dentist routinely for a check-up and professional cleaning. - don't smoke. - eat a well-balanced diet. (for more information, see ""eating well as you get older"" at brush your teeth twice a day (with a fluoride toothpaste). floss regularly to remove plaque from between teeth. or use a device such as a special pick recommended by a dental professional. visit the dentist routinely for a check-up and professional cleaning. visit the dentist routinely for a check-up and professional cleaning. don't smoke. eat a well-balanced diet. (for more information, see ""eating well as you get older"" at tips for easier at-home care - if your hands have become stiff because of arthritis or if you have a physical disability, you may find it difficult to use your toothbrush or dental floss. the following tips might make it easier for you to clean your teeth and gums. if your hands have become stiff because of arthritis or if you have a physical disability, you may find it difficult to use your toothbrush or dental floss. the following tips might make it easier for you to clean your teeth and gums. - make the toothbrush easier to hold. the same kind of velcro strap used to hold food utensils is helpful for some people. make the toothbrush easier to hold. the same kind of velcro strap used to hold food utensils is helpful for some people. - another way to make the toothbrush easier to hold is to attach the brush to the hand with a wide elastic or rubber band. another way to make the toothbrush easier to hold is to attach the brush to the hand with a wide elastic or rubber band. - make the toothbrush handle bigger. you can cut a small slit in the side of a tennis ball and slide it onto the handle of the toothbrush. make the toothbrush handle bigger. you can cut a small slit in the side of a tennis ball and slide it onto the handle of the toothbrush. - you can also buy a toothbrush with a large handle, or you can slide a bicycle grip onto the handle. you can also buy a toothbrush with a large handle, or you can slide a bicycle grip onto the handle. - try other toothbrush options. a power toothbrush might make brushing easier. try other toothbrush options. a power toothbrush might make brushing easier. - a floss holder can make it easier to hold the dental floss. - also, talk with your dentist about whether an oral irrigation system, special small brushes, or other instruments that clean between teeth are right for you. be sure to check with your dentist, though, before using any of these methods since they may injure the gums if used improperly. a floss holder can make it easier to hold the dental floss. also, talk with your dentist about whether an oral irrigation system, special small brushes, or other instruments that clean between teeth are right for you. be sure to check with your dentist, though, before using any of these methods since they may injure the gums if used improperly."
what are the treatments for gum (periodontal) disease ?,"if left untreated, gum disease can lead to tooth loss. gum disease is the leading cause of tooth loss in older adults."
what are the treatments for gum (periodontal) disease ?,"in deep cleaning, the dentist, periodontist, or dental hygienist removes the plaque through a method called scaling and root planing. scaling means scraping off the tartar from above and below the gum line. root planing gets rid of rough spots on the tooth root where the germs gather, and helps remove bacteria that contribute to the disease."
what are the treatments for gum (periodontal) disease ?,"controlling the infection the main goal of treatment is to control the infection. the number and types of treatment will vary, depending on how far the disease has advanced. any type of treatment requires the patient to keep up good daily care at home. the doctor may also suggest changing certain behaviors, such as quitting smoking, as a way to improve treatment outcome. treatments may include deep cleaning, medications, surgery, and bone and tissue grafts. deep cleaning (scaling and planing) in deep cleaning, the dentist, periodontist, or dental hygienist removes the plaque through a method called scaling and root planing. scaling means scraping off the tartar from above and below the gum line. root planing gets rid of rough spots on the tooth root where the germs gather, and helps remove bacteria that contribute to the disease. in some cases a laser may be used to remove plaque and tartar. this procedure can result in less bleeding, swelling, and discomfort compared to traditional deep cleaning methods. medications medications may be used with treatment that includes scaling and root planing, but they cannot always take the place of surgery. depending on how far the disease has progressed, the dentist or periodontist may still suggest surgical treatment. long-term studies are needed to find out if using medications reduces the need for surgery and whether they are effective over a long period of time. flap surgery surgery might be necessary if inflammation and deep pockets remain following treatment with deep cleaning and medications. a dentist or periodontist may perform flap surgery to remove tartar deposits in deep pockets or to reduce the periodontal pocket and make it easier for the patient, dentist, and hygienist to keep the area clean. this common surgery involves lifting back the gums and removing the tartar. the gums are then sutured back in place so that the tissue fits snugly around the tooth again. after surgery, the gums will shrink to fit more tightly around the tooth. this sometimes results in the teeth appearing longer. bone and tissue grafts in addition to flap surgery, your periodontist or dentist may suggest procedures to help regenerate any bone or gum tissue lost to periodontitis. - bone grafting, in which natural or synthetic bone is placed in the area of bone loss, can help promote bone growth. a technique that can be used with bone grafting is called guided tissue regeneration. in this procedure, a small piece of mesh-like material is inserted between the bone and gum tissue. this keeps the gum tissue from growing into the area where the bone should be, allowing the bone and connective tissue to regrow. bone grafting, in which natural or synthetic bone is placed in the area of bone loss, can help promote bone growth. a technique that can be used with bone grafting is called guided tissue regeneration. in this procedure, a small piece of mesh-like material is inserted between the bone and gum tissue. this keeps the gum tissue from growing into the area where the bone should be, allowing the bone and connective tissue to regrow. - growth factors proteins that can help your body naturally regrow bone may also be used. in cases where gum tissue has been lost, your dentist or periodontist may suggest a soft tissue graft, in which synthetic material or tissue taken from another area of your mouth is used to cover exposed tooth roots. growth factors proteins that can help your body naturally regrow bone may also be used. in cases where gum tissue has been lost, your dentist or periodontist may suggest a soft tissue graft, in which synthetic material or tissue taken from another area of your mouth is used to cover exposed tooth roots. since each case is different, it is not possible to predict with certainty which grafts will be successful over the long-term. treatment results depend on many things, including how far the disease has progressed, how well the patient keeps up with oral care at home, and certain risk factors, such as smoking, which may lower the chances of success. ask your periodontist what the level of success might be in your particular case. treatment results treatment results depend on many things, including how far the disease has progressed, how well the patient keeps up with home care, and certain risk factors, such as smoking, which may lower the chances of success. ask your periodontist what the likelihood of success might be in your particular case. consider getting a second opinion when considering any extensive dental or medical treatment options, you should think about getting a second opinion. to find a dentist or periodontist for a second opinion, call your local dental society. they can provide you with names of practitioners in your area. also, dental schools may sometimes be able to offer a second opinion. call the dental school in your area to find out whether it offers this service."
what are the symptoms of gum (periodontal) disease ?,people are not often aware they have gum disease until it is advanced. any of these symptoms may be a sign of a serious problem and should be checked by a dentist. - bad breath that won't go away - red or swollen gums - tender or bleeding gums - painful chewing - loose teeth - sensitive teeth - receding gums or longer appearing teeth bad breath that won't go away red or swollen gums tender or bleeding gums painful chewing loose teeth sensitive teeth receding gums or longer appearing teeth sometimes gum disease has no clear symptoms.
what are the treatments for gum (periodontal) disease ?,"treatments may include deep cleaning, medications, surgery, and bone and tissue grafts."
what are the treatments for gum (periodontal) disease ?,"medications may be used with treatment that includes scaling and root planing. depending on how far the disease has progressed, the dentist or periodontist may also suggest surgical treatment. long-term studies are needed to find out if using medications reduces the need for surgery and whether they are effective over a long period of time."
what are the symptoms of gum (periodontal) disease ?,"symptoms symptoms of gum disease may include: - bad breath that won't go away - red or swollen gums - tender or bleeding gums - painful chewing - loose teeth - sensitive teeth - receding gums or longer appearing teeth bad breath that won't go away red or swollen gums tender or bleeding gums painful chewing loose teeth sensitive teeth receding gums or longer appearing teeth if you have symptoms any of these symptoms may be a sign of a serious problem that should be checked by a dentist. sometimes gum disease has no clear symptoms. at your dental visit, the dentist or hygienist should - ask about your medical history to identify any conditions or risk factors (such as smoking) that may contribute to gum disease. - examine your gums and note any signs of inflammation. - use a tiny ruler called a 'probe' to check for and measure any pockets. in a healthy mouth, the depth of these pockets is usually between 1 and 3 millimeters. this test for pocket depth is usually painless. ask about your medical history to identify any conditions or risk factors (such as smoking) that may contribute to gum disease. examine your gums and note any signs of inflammation. use a tiny ruler called a 'probe' to check for and measure any pockets. in a healthy mouth, the depth of these pockets is usually between 1 and 3 millimeters. this test for pocket depth is usually painless. the dentist or hygienist may also - take an x-ray to see whether there is any bone loss and to examine the condition of the teeth and supporting tissues. - refer you to a periodontist. periodontists are experts in the diagnosis and treatment of gum disease and may provide you with treatment options that are not offered by your dentist. take an x-ray to see whether there is any bone loss and to examine the condition of the teeth and supporting tissues. refer you to a periodontist. periodontists are experts in the diagnosis and treatment of gum disease and may provide you with treatment options that are not offered by your dentist."
what causes gum (periodontal) disease ?,"in some studies, researchers have observed that people with periodontal disease (when compared to people without periodontal disease) were more likely to develop heart disease or have difficulty controlling their blood sugar. but so far, it has not been determined whether periodontal disease is the cause of these conditions. there may be other reasons people with periodontal disease sometimes develop additional health problems. for example, something else may be causing both the gum disease and the other condition, or it could be a coincidence that gum disease and other health problems are present together. more research is needed to clarify whether gum disease actually causes health problems beyond the mouth, and whether treating gum disease can keep other health conditions from developing. in the meantime, it's a fact that controlling periodontal disease can save your teeth -- a very good reason to take care of your teeth and gums."
what are the treatments for gum (periodontal) disease ?,"surgery might be necessary if inflammation and deep pockets remain following treatment with deep cleaning and medications. a periodontist may perform flap surgery to remove tartar deposits in deep pockets or to reduce the periodontal pocket and make it easier for the patient, dentist, and hygienist to keep the area clean. this common surgery involves lifting back the gums and removing the tartar. the gums are then sutured back in place so that the tissue fits snugly around the tooth again."
what are the symptoms of heart attack ?,"most heart attacks involve discomfort in the center of the chest that lasts more than a few minutes or goes away and comes back. the discomfort can feel like uncomfortable pressure, squeezing, fullness, or pain. it can include pain or numbness in one or both arms, the back, neck, jaw, or stomach. heart attack pain can sometimes feel like indigestion or heartburn. shortness of breath often happens along with, or before chest discomfort. other symptoms may include breaking out in a cold sweat, having nausea and vomiting, or feeling light-headed or dizzy. symptoms vary, and some people have no symptoms. know the symptoms of a heart attack so you can act fast to get treatment."
how to diagnose heart attack ?,"your doctor will diagnose a heart attack based on your signs and symptoms, your medical and family histories, and test results. diagnostic tests ekg (electrocardiogram) an ekg is a simple, painless test that detects and records the heart's electrical activity. the test shows how fast the heart is beating and its rhythm (steady or irregular). an ekg also records the strength and timing of electrical signals as they pass through each part of the heart. an ekg can show signs of heart damage due to coronary heart disease (chd) and signs of a previous or current heart attack. blood tests during a heart attack, heart muscle cells die and release proteins into the bloodstream. blood tests can measure the amount of these proteins in the bloodstream. higher than normal levels of these proteins suggest a heart attack. commonly used blood tests include troponin tests, ck or ckmb tests, and serum myoglobin tests. blood tests often are repeated to check for changes over time. coronary angiography coronary angiography (an-jee-og-ra-fee) is a test that uses dye and special x rays to show the insides of your coronary arteries. this test often is done during a heart attack to help find blockages in the coronary arteries. to get the dye into your coronary arteries, your doctor will use a procedure called cardiac catheterization (kath-e-ter-ih-za-shun). a thin, flexible tube called a catheter is put into a blood vessel in your arm, groin (upper thigh), or neck. the tube is threaded into your coronary arteries, and the dye is released into your bloodstream. special x rays are taken while the dye is flowing through the coronary arteries. the dye lets your doctor study the flow of blood through the heart and blood vessels. if your doctor finds a blockage, he or she may recommend a procedure calledpercutaneous (per-ku-ta-ne-us) coronary intervention (pci), sometimes referred to ascoronary angioplasty(an-jee-oh-plas-tee). this procedure can help restore blood flow through a blocked artery. sometimes a small mesh tube called a stent is placed in the artery to help prevent blockages after the procedure."
what causes heart attack ?,"coronary heart disease, or chd, is the most common underlying cause of a heart attack. coronary arteries are the blood vessels that bring blood and oxygen to the heart muscle. most heart attacks are caused by a blood clot that blocks one of the coronary arteries. when blood cannot reach part of your heart, that area starves for oxygen. if the blockage continues long enough, cells in the affected area die."
what is (are) heart attack ?,"espaol a heart attack happens when the flow of oxygen-rich blood to a section of heart muscle suddenly becomes blocked and the heart cant get oxygen. if blood flow isnt restored quickly, the section of heart muscle begins to die. heart attack treatment works best when its given right after symptoms occur. if you think you or someone else is having a heart attack, even if youre not sure, call 911 right away. overview heart attacks most often occur as a result of coronary heart disease (chd), also called coronary artery disease. chd is a condition in which a waxy substance called plaque builds up inside the coronary arteries. these arteries supply oxygen-rich blood to your heart. when plaque builds up in the arteries, the condition is called atherosclerosis. the buildup of plaque occurs over many years. eventually, an area of plaque can rupture (break open) inside of an artery. this causes a blood clot to form on the plaque's surface. if the clot becomes large enough, it can mostly or completely block blood flow through a coronary artery. if the blockage isn't treated quickly, the portion of heart muscle fed by the artery begins to die. healthy heart tissue is replaced with scar tissue. this heart damage may not be obvious, or it may cause severe or long-lasting problems. heart with muscle damage and a blocked artery a less common cause of heart attack is a severe spasm (tightening) of a coronary artery. the spasm cuts off blood flow through the artery. spasms can occur in coronary arteries that aren't affected by atherosclerosis. heart attacks can be associated with or lead to severe health problems, such as heart failure and life-threatening arrhythmias. heart failure is a condition in which the heart can't pump enough blood to meet the body's needs. arrhythmias are irregular heartbeats. ventricular fibrillation is a life-threatening arrhythmia that can cause death if not treated right away. don't wait--get help quickly acting fast at the first sign of heart attack symptoms can save your life and limit damage to your heart. treatment works best when it's given right after symptoms occur. many people aren't sure what's wrong when they are having symptoms of a heart attack. some of the most common warning symptoms of a heart attack for both men and women are: chest pain or discomfort.most heart attacks involve discomfort in the center or left side of the chest. the discomfort usually lasts more than a few minutes or goes away and comes back. it can feel like pressure, squeezing, fullness, or pain. it also can feel like heartburn or indigestion. upper body discomfort.you may feel pain or discomfort in one or both arms, the back, shoulders, neck, jaw, or upper part of the stomach (above the belly button). shortness of breath.this may be your only symptom, or it may occur before or along with chest pain or discomfort. it can occur when you are resting or doing a little bit of physical activity. other possible symptoms of a heart attack include: breaking out in a cold sweat feeling unusually tired for no reason, sometimes for days (especially if you are a woman) nausea (feeling sick to the stomach) and vomiting light-headedness or sudden dizziness any sudden, new symptom or a change in the pattern of symptoms you already have (for example, if your symptoms become stronger or last longer than usual) not all heart attacks begin with the sudden, crushing chest pain that often is shown on tv or in the movies, or other common symptoms such as chest discomfort. the symptoms of a heart attack can vary from person to person. some people can have few symptoms and are surprised to learn they've had a heart attack. if you've already had a heart attack, your symptoms may not be the same for another one. quick action can save your life: call 911 if you think you or someone else may be having heart attack symptoms or a heart attack, don't ignore it or feel embarrassed to call for help. call 911 for emergency medical care. acting fast can save your life. do not drive to the hospital or let someone else drive you. call an ambulance so that medical personnel can begin life-saving treatment on the way to the emergency room. take a nitroglycerin pill if your doctor has prescribed this type of treatment."
what is (are) heart attack ?,"each year over a million people in the u.s. have a heart attack. about half of them die. many people have permanent heart damage or die because they don't get help immediately. it's important to know the symptoms of a heart attack and call 9-1-1 if someone is having them. those symptoms include - chest discomfort - pressure, squeezing, or pain - shortness of breath - discomfort in the upper body - arms, shoulder, neck, back - nausea, vomiting, dizziness, lightheadedness, sweating these symptoms can sometimes be different in women. what exactly is a heart attack? most heart attacks happen when a clot in the coronary artery blocks the supply of blood and oxygen to the heart. often this leads to an irregular heartbeat - called an arrhythmia - that causes a severe decrease in the pumping function of the heart. a blockage that is not treated within a few hours causes the affected heart muscle to die. nih: national heart, lung, and blood institute"
who is at risk for heart attack? ?,"certain factors increase the risk of developing coronary heart disease and having a heart attack. these risk factors include some things you cannot change. you are at greater risk if you - are a man over age 45 or a woman over age 55. - have a family history of early heart disease -- heart disease in a father or brother before age 55 or in a mother or sister before age 65. - have a personal history of angina or previous heart attack. - have had a heart procedure, such as angioplasty or heart bypass. are a man over age 45 or a woman over age 55. have a family history of early heart disease -- heart disease in a father or brother before age 55 or in a mother or sister before age 65. have a personal history of angina or previous heart attack. have had a heart procedure, such as angioplasty or heart bypass. importantly, there are many risk factors for heart attack that you can change, including - smoking - being obese or overweight - being physically inactive - having high blood pressure, high blood cholesterol or diabetes. smoking being obese or overweight being physically inactive having high blood pressure, high blood cholesterol or diabetes."
what are the treatments for heart attack ?,"there are many medicines that are used to treat a heart attack. - clot-busters or thrombolytic drugs dissolve blood clots that are blocking blood flow to the heart. - beta blockers decrease the workload on your heart by slowing your heart rate. - angiotensin-converting enzyme (ace) inhibitors lower your blood pressure and reduce the strain on your heart. - nitrates, such as nitroglycerin relax blood vessels and relieve chest pain. - anticoagulants thin the blood and prevent clots from forming in your arteries. - antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. these medications are given to people who have had a heart attack, have angina, or have had angioplasty. clot-busters or thrombolytic drugs dissolve blood clots that are blocking blood flow to the heart. beta blockers decrease the workload on your heart by slowing your heart rate. angiotensin-converting enzyme (ace) inhibitors lower your blood pressure and reduce the strain on your heart. nitrates, such as nitroglycerin relax blood vessels and relieve chest pain. anticoagulants thin the blood and prevent clots from forming in your arteries. antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. these medications are given to people who have had a heart attack, have angina, or have had angioplasty. doctors may also prescribe medicines to relieve pain and anxiety, or to treat irregular heart rhythms which often occur during a heart attack."
what causes heart attack ?,"coronary heart disease a heart attack happens if the flow of oxygen-rich blood to a section of heart muscle suddenly becomes blocked and the heart can't get oxygen. most heart attacks occur as a result of coronary heart disease (chd). chd is a condition in which a waxy substance called plaque builds up inside of the coronary arteries. these arteries supply oxygen-rich blood to your heart. when plaque builds up in the arteries, the condition is called atherosclerosis. the buildup of plaque occurs over many years. eventually, an area of plaque can rupture (break open) inside of an artery. this causes a blood clot to form on the plaque's surface. if the clot becomes large enough, it can mostly or completely block blood flow through a coronary artery. if the blockage isn't treated quickly, the portion of heart muscle fed by the artery begins to die. healthy heart tissue is replaced with scar tissue. this heart damage may not be obvious, or it may cause severe or long-lasting problems. coronary artery spasm a less common cause of heart attack is a severe spasm (tightening) of a coronary artery. the spasm cuts off blood flow through the artery. spasms can occur in coronary arteries that aren't affected by atherosclerosis. what causes a coronary artery to spasm isn't always clear. a spasm may be related to: taking certain drugs, such as cocaine emotional stress or pain exposure to extreme cold cigarette smoking"
how many people are affected by heart attack ?,"very common. each year, more than 1 million people in the u.s. have a heart attack and about half of them die. about one-half of those who die do so within 1 hour of the start of symptoms and before reaching the hospital."
who is at risk for heart attack? ?,"you can lower your risk of having a heart attack, even if you have already had a heart attack or have been told that your chances of having a heart attack are high. to prevent a heart attack, you will need to make lifestyle changes. you may also need to get treatment for conditions that raise your risk. lifestyle changes you can make to lower your risk for heart attack include the following: - if you smoke, quit. - maintain a healthy weight. lose weight gradually if you are overweight or obese. if you smoke, quit. maintain a healthy weight. lose weight gradually if you are overweight or obese. - follow a heart healthy diet -- such as one low in salt, saturated fat and trans fat, and calories -- to prevent or reduce high blood pressure and high blood cholesterol and maintain a healthy weight. - be as physically active as you can. follow a heart healthy diet -- such as one low in salt, saturated fat and trans fat, and calories -- to prevent or reduce high blood pressure and high blood cholesterol and maintain a healthy weight. be as physically active as you can. get treatment for related conditions that might make having a heart attack more likely. - if you have high blood cholesterol, follow your doctor's advice about lowering it. take medications to lower your cholesterol as directed. - if you have high blood pressure, follow your doctor's advice about keeping it under control. take blood pressure medications as directed. - if you have diabetes, sometimes called high blood sugar, follow your doctor's advice about keeping blood sugar levels under control. take your medicines as directed. if you have high blood cholesterol, follow your doctor's advice about lowering it. take medications to lower your cholesterol as directed. if you have high blood pressure, follow your doctor's advice about keeping it under control. take blood pressure medications as directed. if you have diabetes, sometimes called high blood sugar, follow your doctor's advice about keeping blood sugar levels under control. take your medicines as directed."
what are the treatments for heart attack ?,"if you are having a heart attack, doctors will work quickly to restore blood flow to the heart and continuously monitor vital signs to detect and treat complications. restoring blood flow to the heart can prevent or limit damage to the heart muscle and help prevent another heart attack. doctors may use clot-busting drugs called thrombolytics and procedures, such as angioplasty. long-term treatment after a heart attack may include cardiac rehabilitation, checkups and tests, lifestyle changes, and medications."
what is (are) heart attack ?,"blood flow to the heart is blocked the heart works 24 hours a day, pumping oxygen and nutrient-rich blood to the body. blood is supplied to the heart through its coronary arteries. if a blood clot suddenly blocks a coronary artery, it cuts off most or all blood supply to the heart, and a heart attack results. if blood flow isn't restored quickly, the section of heart muscle begins to die. the more time that passes without treatment to restore blood flow, the greater the damage to the heart. affects both men and women heart attacks are a leading killer of both men and women in the united states. each year, more than one million people in the u.s. have a heart attack and about half of them die. half of those who die do so within one hour of the start of symptoms and before reaching the hospital. the good news is that excellent treatments are available for heart attacks. these treatments can save lives and prevent disabilities. prompt treatment is important heart attack treatment works best when it's given right after symptoms occur. prompt treatment of a heart attack can help prevent or limit damage to the heart and prevent sudden death. call 9-1-1 right away a heart attack is an emergency. call 9-1-1 for an ambulance right away -- within 5 minutes -- if you think you or someone else may be having a heart attack. you also should call for help if your chest pain doesn't go away as it usually does when you take medicine prescribed for angina (chest pain). do not drive to the hospital or let someone else drive you. emergency personnel in the ambulance can begin life-saving treatment on the way to the emergency room. they carry drugs and equipment that can help your medical condition, including - oxygen - aspirin to prevent further blood clotting - heart medications, such as nitroglycerin - pain relief treatments - defibrillators that can restart the heart if it stops beating. oxygen aspirin to prevent further blood clotting heart medications, such as nitroglycerin pain relief treatments defibrillators that can restart the heart if it stops beating. if blood flow in the blocked artery can be restored quickly, permanent heart damage may be prevented. yet, many people do not seek medical care for 2 hours or more after symptoms start."
who is at risk for heart attack? ?,"lowering your risk factors for coronary heart disease (chd) can help you prevent a heart attack. even if you already have chd or have already had a heart attack, you can still take steps to lower your risk. these steps involve following a heart healthy lifestyle and getting ongoing care for conditions that raise your risk. heart healthy lifestyle changes you can make these lifestyle changes to lower your risk of having a heart attack. - if you smoke, quit. - maintain a healthy weight. - be as physically active as you can. - follow a heart healthy diet. if you smoke, quit. maintain a healthy weight. be as physically active as you can. follow a heart healthy diet. if you smoke, quit. smoking can raise your risk of chd and heart attack. talk with your doctor about programs and products that can help you quit. also, try to avoid secondhand smoke. maintain a healthy weight. if you're overweight or obese, work with your doctor to create a reasonable weight-loss plan that involves diet and physical activity. controlling your weight helps you control risk factors for coronary heart disease (chd) and heart attack. be as physically active as you can. physical activity can improve your fitness level and your health. talk with your doctor about what types of activity are safe for you. follow a heart healthy diet. following a healthy diet is an important part of a heart healthy lifestyle. eat a healthy diet to prevent or reduce high blood pressure and high blood cholesterol, and to maintain a healthy weight. a healthy diet includes a variety of fruits, vegetables, and whole grains. it also includes lean meats, poultry, fish, beans, and fat-free or low-fat milk or milk products. a healthy diet is low in saturated fat, trans fat, cholesterol, sodium (salt), and added sugars. for more information about healthy eating for more information about following a healthy diet, go to the national heart, lung, and blood institute's (nhlbi's) aim for a healthy weight web site, your guide to a healthy heart, and your guide to lowering your blood pressure with dash. in addition, a variety of heart healthy recipes to help you plan meals is available at aim for a healthy weight. all of these resources provide general information about healthy eating. treatment for related conditions get treatment for related conditions that make having a heart attack more likely. - if you have high blood cholesterol, follow your doctor's advice about lowering it. take medications to lower your cholesterol as directed if diet and exercise aren't enough. - if you have high blood pressure, follow your doctor's advice about keeping it under control. take blood pressure medications as directed. - if you have diabetes, sometimes called high blood sugar, try to control your blood sugar level through diet and physical activity (as your doctor recommends). if needed, take medicine as prescribed. if you have high blood cholesterol, follow your doctor's advice about lowering it. take medications to lower your cholesterol as directed if diet and exercise aren't enough. if you have high blood pressure, follow your doctor's advice about keeping it under control. take blood pressure medications as directed. if you have diabetes, sometimes called high blood sugar, try to control your blood sugar level through diet and physical activity (as your doctor recommends). if needed, take medicine as prescribed."
what are the symptoms of heart failure ?,"the most common symptoms of heart failure include shortness of breath or difficulty breathing, feeling tired, and swelling. swelling is caused by fluid build-up in the body. fluid buildup can lead to weight gain and frequent urination, as well as coughing."
how to diagnose heart failure ?,"your doctor will diagnose heart failure based on your medical and family histories, a physical exam, and test results. the signs and symptoms of heart failure also are common in other conditions. thus, your doctor will: find out whether you have a disease or condition that can cause heart failure, such as coronary heart disease (chd), high blood pressure, or diabetes rule out other causes of your symptoms find any damage to your heart and check how well your heart pumps blood early diagnosis and treatment can help people who have heart failure live longer, more active lives. medical and family histories your doctor will ask whether you or others in your family have or have had a disease or condition that can cause heart failure. your doctor also will ask about your symptoms. he or she will want to know which symptoms you have, when they occur, how long you've had them, and how severe they are. your answers will help show whether and how much your symptoms limit your daily routine. physical exam during the physical exam, your doctor will: listen to your heart for sounds that aren't normal listen to your lungs for the sounds of extra fluid buildup look for swelling in your ankles, feet, legs, abdomen, and the veins in your neck diagnostic tests no single test can diagnose heart failure. if you have signs and symptoms of heart failure, your doctor may recommend one or more tests. your doctor also may refer you to a cardiologist. a cardiologist is a doctor who specializes in diagnosing and treating heart diseases and conditions. ekg (electrocardiogram) an ekg is a simple, painless test that detects and records the heart's electrical activity. the test shows how fast your heart is beating and its rhythm (steady or irregular). an ekg also records the strength and timing of electrical signals as they pass through your heart. an ekg may show whether the walls in your heart's pumping chambers are thicker than normal. thicker walls can make it harder for your heart to pump blood. an ekg also can show signs of a previous or current heart attack. chest x ray a chest x raytakes pictures of the structures inside your chest, such as your heart, lungs, and blood vessels. this test can show whether your heart is enlarged, you have fluid in your lungs, or you have lung disease. bnp blood test this test checks the level of a hormone in your blood called bnp. the level of this hormone rises during heart failure. echocardiography echocardiography (echo) uses sound waves to create a moving picture of your heart. the test shows the size and shape of your heart and how well your heart chambers and valves work. echo also can identify areas of poor blood flow to the heart, areas of heart muscle that aren't contracting normally, and heart muscle damage caused by lack of blood flow. echo might be done before and after a stress test (see below). a stress echo can show how well blood is flowing through your heart. the test also can show how well your heart pumps blood when it beats. doppler ultrasound a doppler ultrasound uses sound waves to measure the speed and direction of blood flow. this test often is done with echo to give a more complete picture of blood flow to the heart and lungs. doctors often use doppler ultrasound to help diagnose right-side heart failure. holter monitor a holter monitor records your heart's electrical activity for a full 24- or 48-hour period, while you go about your normal daily routine. you wear small patches called electrodes on your chest. wires connect the patches to a small, portable recorder. the recorder can be clipped to a belt, kept in a pocket, or hung around your neck. nuclear heart scan a nuclear heart scan shows how well blood is flowing through your heart and how much blood is reaching your heart muscle. during a nuclear heart scan, a safe, radioactive substance called a tracer is injected into your bloodstream through a vein. the tracer travels to your heart and releases energy. special cameras outside of your body detect the energy and use it to create pictures of your heart. a nuclear heart scan can show where the heart muscle is healthy and where it's damaged. a positron emission tomography (pet) scan is a type of nuclear heart scan. it shows the level of chemical activity in areas of your heart. this test can help your doctor see whether enough blood is flowing to these areas. a pet scan can show blood flow problems that other tests might not detect. cardiac catheterization during cardiac catheterization (kath-eh-ter-ih-za-shun), a long, thin, flexible tube called a catheter is put into a blood vessel in your arm, groin (upper thigh), or neck and threaded to your heart. this allows your doctor to look inside your coronary (heart) arteries. during this procedure, your doctor can check the pressure and blood flow in your heart chambers, collect blood samples, and use x rays to look at your coronary arteries. coronary angiography coronary angiography (an-jee-og-rah-fee) usually is done with cardiac catheterization. a dye that can be seen on x ray is injected into your bloodstream through the tip of the catheter. the dye allows your doctor to see the flow of blood to your heart muscle. angiography also shows how well your heart is pumping. stress test some heart problems are easier to diagnose when your heart is working hard and beating fast. during stress testing, you exercise to make your heart work hard and beat fast. you may walk or run on a treadmill or pedal a bicycle. if you can't exercise, you may be given medicine to raise your heart rate. heart tests, such as nuclear heart scanning and echo, often are done during stress testing. cardiac mri cardiac mri (magnetic resonance imaging) uses radio waves, magnets, and a computer to create pictures of your heart as it's beating. the test produces both still and moving pictures of your heart and major blood vessels. a cardiac mri can show whether parts of your heart are damaged. doctors also have used mri in research studies to find early signs of heart failure, even before symptoms appear. thyroid function tests thyroid function tests show how well your thyroid gland is working. these tests include blood tests, imaging tests, and tests to stimulate the thyroid. having too much or too little thyroid hormone in the blood can lead to heart failure."
what causes heart failure ?,"heart failure is caused by other diseases and conditions that damage the heart muscle. it is most commonly caused by coronary artery disease, including heart attack. diabetes and high blood pressure also contribute to heart failure risk. people who have had a heart attack are at high risk of developing heart failure."
